Unnamed: 0,pl_rade,pl_bmasse,pl_dens,pl_orbper,pl_orbsmax,st_teff,st_rad,st_mass,st_met,sy_snum,sy_pnum,sy_dist,esi,p_habitable,pl_name,ra,dec,travel_time_years
288,1.137,0.77,3.0,12.1621839,0.0906,4684.0,0.71,0.67,-0.2,1,5,39.0341,0.6288046728998172,1,HD 23472 f,55.4590314,-62.7672667,509.2533044034233
289,2.075,4.2,2.58,7.434151,0.071,5087.0,0.8,0.85,0.105,1,1,41.1706,0.4347704220945018,1,HD 235088 b,300.6154535,53.3774418,537.1268735354876
290,2.52,6.89,2.37,13.671,0.0932,3933.0,0.57,0.58,-0.03,1,1,15.2354,0.3887396562290169,1,HD 238090 b,183.0886375,54.486153,198.76666283859277
291,1.24,2.14,6.2,2.76953,0.02933,3803.0,0.44,0.44,-0.43,1,2,10.0055,0.6798680314627347,1,HD 260655 b,99.2915429,17.5662696,130.5354532884952
292,1.533,3.09,4.7,5.70588,0.04749,3803.0,0.44,0.44,-0.43,1,2,10.0055,0.6079341998512807,1,HD 260655 c,99.2915429,17.5662696,130.5354532884952
293,8.24,51.48846,0.506,36.07,0.198,4894.0,0.89,0.8,0.3,1,3,43.8214,0.2700145180093916,1,HD 27894 c,65.1975693,-59.4096776,571.7101906687785
294,2.199,18.496,9.56,22.89104,0.1357,6120.0,1.45,1.26,0.0,1,3,139.611,0.3908870165098066,1,HD 28109 b,65.2383065,-68.1026875,1821.4167377002752
295,4.23,7.943,0.577,56.00819,0.308,6120.0,1.45,1.26,0.0,1,3,139.611,0.2922986468343411,1,HD 28109 c,65.2383065,-68.1026875,1821.4167377002752
296,3.25,5.681,0.909,84.25999,0.411,6120.0,1.45,1.26,0.0,1,3,139.611,0.3341983817684681,1,HD 28109 d,65.2383065,-68.1026875,1821.4167377002752
297,2.83,8.4,2.04,8.7836,0.066,3703.49,0.48,0.5,-0.1,1,1,9.47045,0.3566548493149129,1,HD 285968 b,70.7353853,18.953358,123.55499311339058
298,12.8,1739.47487,4.56,20608.14049,13.39,4678.0,0.57,0.75,-0.22,1,1,31.2707,0.2805461148750661,1,HD 29985 b,70.5216589,-33.9210696,407.96911690055947
299,3.22,10.47,1.72,16.5535,0.1254,5898.0,1.07,0.96,-0.17,1,3,38.4473,0.3320684337472807,1,HD 31527 b,73.9096193,-23.2413163,501.5976945898518
300,3.85,14.16,1.36,51.2053,0.2663,5898.0,1.07,0.96,-0.17,1,3,38.4473,0.3173188444456756,1,HD 31527 c,73.9096193,-23.2413163,501.5976945898518
301,3.46,11.82,1.57,271.6737,0.8098,5898.0,1.07,0.96,-0.17,1,3,38.4473,0.4495282450064639,1,HD 31527 d,73.9096193,-23.2413163,501.5976945898518
302,1.67,4.97,5.6,0.959641,0.01796,5261.0,0.88,0.84,0.04,1,4,47.2899,0.6214515254667028,1,HD 3167 b,8.7401487,4.3807215,616.9615244083365
303,3.0,11.13,2.11,29.8454,0.1776,5261.0,0.88,0.84,0.04,1,4,47.2899,0.3580218846612107,1,HD 3167 c,8.7401487,4.3807215,616.9615244083365
304,1.92,4.33,3.36,8.4112,0.0763,5261.0,0.88,0.84,0.04,1,4,47.2899,0.4839634188207093,1,HD 3167 d,8.7401487,4.3807215,616.9615244083365
305,2.83,8.41,2.04,96.63,0.3885,5261.0,0.88,0.84,0.04,1,4,47.2899,0.3908082849497546,1,HD 3167 e,8.7401487,4.3807215,616.9615244083365
306,13.9,260.6206,0.533,1049.0,2.07,5879.0,1.38,1.14,0.18,1,6,46.0907,0.1863536761353503,1,HD 34445 b,79.4207483,7.3527156,601.3163177136621
307,8.42,53.5,0.492,214.67,0.7181,5836.0,1.38,1.07,0.14,1,6,46.0907,0.354995656889808,1,HD 34445 c,79.4207483,7.3527156,601.3163177136621
308,6.07,30.7,0.754,117.87,0.4817,5836.0,1.38,1.07,0.14,1,6,46.0907,0.3120341117365537,1,HD 34445 d,79.4207483,7.3527156,601.3163177136621
309,4.26,16.8,1.19,49.175,0.2687,5836.0,1.38,1.07,0.14,1,6,46.0907,0.3052828622490637,1,HD 34445 e,79.4207483,7.3527156,601.3163177136621
310,6.88,37.9,0.64,676.8,1.543,5836.0,1.38,1.07,0.14,1,6,46.0907,0.2807096997136948,1,HD 34445 f,79.4207483,7.3527156,601.3163177136621
311,13.6,120.6,0.263,5700.0,6.36,5836.0,1.38,1.07,0.14,1,6,46.0907,0.1286228273259898,1,HD 34445 g,79.4207483,7.3527156,601.3163177136621
312,14.0,214.53525,0.43,154.378,0.53364,5698.64,0.95,0.85,-0.44,1,3,31.6634,0.3197109415274539,1,HD 37124 b,84.2599947,20.7289784,413.0924263310119
313,14.1,207.22516,0.406,885.5,1.71,5698.64,0.95,0.85,-0.44,1,3,31.6634,0.2122242798697495,1,HD 37124 c,84.2599947,20.7289784,413.0924263310119
314,14.0,221.20968,0.443,1862.0,2.807,5698.64,0.95,0.85,-0.44,1,3,31.6634,0.138429442900443,1,HD 37124 d,84.2599947,20.7289784,413.0924263310119
315,1.83,4.0,3.59,5.6368,0.056,5205.0,0.78,0.67,-0.61,1,3,26.4131,0.5051420524608962,1,HD 39194 b,86.129071,-70.1382377,344.59507083647526
316,2.39,6.3,2.54,14.03,0.103,5205.0,0.78,0.67,-0.61,1,3,26.4131,0.4048934345939313,1,HD 39194 c,86.129071,-70.1382377,344.59507083647526
