,pl_rade,pl_bmasse,pl_dens,pl_orbper,pl_orbsmax,st_teff,st_rad,st_mass,st_met,sy_snum,sy_pnum,sy_dist,esi,p_habitable,pl_name
769,1.43,2.63,4.94,0.66308526,0.0141,5053.0,0.77,0.8,-0.07,1,1,805.562,0.640259887890735,1,Kepler-1259 b
770,1.52,4.11726,5.762535,10.495711,0.099,6239.0,1.36,1.11,-0.07,1,3,237.401,0.6427756385064672,1,Kepler-126 b
771,1.58,1.27942,1.695536,21.869741,0.162,6239.0,1.36,1.11,-0.07,1,3,237.401,0.48363715688066017,1,Kepler-126 c
772,2.5,54.59019,18.398878,100.283134,0.448,6239.0,1.36,1.11,-0.07,1,3,237.401,0.267882841178197,1,Kepler-126 d
773,2.26,5.73,2.73,48.4308991,0.239,5006.0,0.77,0.82,0.03,1,1,744.294,0.4358265892968731,1,Kepler-1261 b
774,1.14,1.55,5.75,4.55139967,0.0499,5213.0,0.8,0.84,-0.03,1,1,664.83,0.7330761143392582,1,Kepler-1263 b
775,1.35,2.39,5.34,6.49441289,0.0612,4630.0,0.69,0.71,-0.1,1,1,583.641,0.6829284328289663,1,Kepler-1265 b
776,2.58,7.18,2.3,28.474748,0.1689,5044.0,0.76,0.8,-0.07,1,2,849.312,0.3873797088384932,1,Kepler-1266 b
777,1.68,3.46,4.01,4.86631012,0.052,4996.0,0.83,0.79,0.14,1,2,849.312,0.5470359572754945,1,Kepler-1266 c
778,1.6,3.19,4.28,40.8365012,0.2237,5578.0,0.92,0.94,-0.01,1,1,557.193,0.586713144701677,1,Kepler-1277 b
779,1.21,1.92,5.96,0.66407381,0.0143,5123.0,0.79,0.84,0.03,1,1,882.324,0.7002364876595154,1,Kepler-1284 b
780,1.66,3.39,4.07,8.63043276,0.0779,5216.0,0.8,0.84,-0.04,1,1,897.352,0.554514533033927,1,Kepler-1291 b
781,1.02,1.04,5.39,8.457458,0.079,5884.0,1.13,0.93,-0.199,2,3,316.663,0.7783842341365718,2,Kepler-130 b
782,2.9,8.75,1.97,27.50868,0.178,5879.0,1.17,1.0,0.02,2,3,316.663,0.35740579195513256,1,Kepler-130 c
783,1.64,3.33,4.15,87.517905,0.377,5884.0,1.13,0.93,-0.199,2,3,316.663,0.5920183894320329,1,Kepler-130 d
784,1.4,2.54,5.09,9.08237046,0.0815,5188.0,0.81,0.85,0.01,1,1,854.28,0.6580231931937361,1,Kepler-1301 b
785,1.43,2.63,4.94,8.83922659,0.0795,5236.0,0.82,0.86,0.04,1,1,634.58,0.6430408865513575,1,Kepler-1302 b
786,0.52,0.0933,3.65,2.10433812,0.025,3468.0,0.34,0.35,-0.13,1,1,112.705,0.5674306169866847,1,Kepler-1308 b
787,2.37,6.21,2.56,28.8432647,0.1679,5235.0,0.8,0.85,-0.03,1,1,845.0,0.41255198961514433,1,Kepler-1309 b
788,2.41,16.13,6.0,16.092,0.127825,5685.0,1.03,1.02,0.12,1,2,228.678,0.5145010800498503,1,Kepler-131 b
789,0.84,8.25,77.7,25.5169,0.173819,5685.0,1.03,1.02,0.12,1,2,228.678,0.415548295139875,1,Kepler-131 c
790,1.44,2.67,4.91,0.67933627,0.0148,5549.0,0.88,0.91,-0.07,1,1,569.185,0.6364757228505794,1,Kepler-1310 b
791,1.24,2.07,5.97,11.1726994,0.0989,5748.0,1.4,1.05,0.09,1,3,866.331,0.6952798640201681,1,Kepler-1311 b
792,1.22,1.98,5.99,2.53573424,0.0368,5748.0,1.4,1.05,0.09,1,3,866.331,0.6965111350673192,1,Kepler-1311 c
793,2.1,5.06,3.0,5.44832529,0.0603,5719.0,0.92,0.99,-0.02,1,2,299.104,0.44679586223639195,1,Kepler-1312 b
794,1.027,1.07,5.42,1.11611998,0.0209,5721.0,0.91,0.98,0.02,1,2,299.104,0.7753884313655495,2,Kepler-1312 c
795,1.76,3.75,3.78,3.83309118,0.046,5453.0,0.85,0.92,0.0,1,1,174.234,0.5233214908105478,1,Kepler-1313 b
796,5.11,22.9,0.943,5.42474928,0.0504,4188.0,0.59,0.6,-0.22,1,1,141.9868506,0.27544664456182266,1,Kepler-1314 b
797,1.38,2.48,5.19,0.84338011,0.0163,4861.0,0.75,0.8,0.07,1,2,480.869,0.6653897679626892,1,Kepler-1315 b
798,1.56,3.05,4.41,0.56887443,0.0128,5144.0,0.79,0.83,-0.01,1,1,728.303,0.5862299693943808,1,Kepler-1317 b
799,3.11,9.85,1.8,213.257663,0.6085,4598.0,0.7,0.73,-0.01,1,1,475.248,0.4302809446144939,1,Kepler-1318 b
800,1.34,2.36,5.39,2.88676265,0.0296,3655.0,0.54,0.56,0.44,2,1,103.917,0.6870085617945595,1,Kepler-1319 b
801,1.21,1.92,5.96,6.178196,0.067,6003.0,1.18,0.98,-0.216,2,4,349.549,0.7021051997376535,1,Kepler-132 b
802,1.28,2.18,5.71,6.414914,0.068,6003.0,1.18,0.98,-0.216,2,4,349.549,0.6981781899109497,1,Kepler-132 c
